Date,Sign,Text
3 january 2018,aries,"You may feel as though you simply can’t do anything right. That’s not true, of course, but a tense Mercury-Chiron aspect will make you feel this way. No worries. By tomorrow you’ll be on top of your game again.

"
4 january 2018,aries,"Your motivation rises as shrewd Mercury glides into your house of ambition and success. To your surprise, you may do a 180 and completely change some of your biggest plans. If anything, you’ll be thinking bigger and bolder than ever.

"
14 january 2018,aries,"With shrewd Mercury in your career sector, you are quite ambitious these days. But don’t be so busy that you’re not paying attention to your intuition, which is running high at the moment. Inspiration could strike when you least expect it.

"
28 january 2018,aries,"
Not all of the thoughts or decisions that you’ve made lately have been the best, but that’s what life is all about… to learn from our mistakes. With Mars in your sign, you are in a refreshingly honest place. The good news is you will make these mistakes again.

"
8 march 2018,aries,"Just how well do you handle conflict and other issues within close relationships, Aries? Do you have some mental baggage that needs to go buh-bye? These are questions you’ll be thinking about now that Jupiter has gone retrograde in one of the most emotional parts of your chart, the eighth house. This is where we process stinky emotions and past dramas, especially those from our romantic past and present. Between now and July 10th is a great time to do inner work. Study mindfulness, schedule sessions with a therapist, journal or talk to a trusted confidante.

"
9 march 2018,aries,"Your eagerness to get started on something is rising, due to the passionate Moon in a tight aspect to motivator Mars. You can do this, Aries! But if you need permission–from a boss, government agency, or someone who may be a decision maker–make sure that you don’t step on their toes.

"
10 march 2018,aries,"Don’t give your power away just to keep someone happy, Aries. This theme starts today and runs into next week. Whether it’s a lover, boss or family member, you need to stand your ground. Otherwise you’ll end up getting run over.

"
11 march 2018,aries,"You won’t be content to sit back and let good things come to you, that’s for sure. It’s time for new situations and people to enter your life. And while you’re at it, why not break some rules too?

"
12 march 2018,aries,"Great day for digging up information that can help you move ahead in your career, Aries! Sniff out what the competition is doing, or find out who’s hiring. Got a side hustle in mind? Then research what you’ll need to do to get it off the ground.

"
13 march 2018,aries,"Your birthday season is approaching and the planets are urging you to cut the dead wood from your life now. An optimistic Sun-Jupiter meeting is perfect for thinking about what needs to go, calmly and rationally.

"
14 march 2018,aries,"Looking for answers from other people is often a smart move, but not so much today. Tap into your own inner wisdom instead. Furthermore, don’t copy what others are doing–be a true original. You have what it takes.

"
15 march 2018,aries,"You may be wondering if some of your plans or ideas are the right ones, and a Moon-Saturn aspect helps you do some research. The best place to go is within, so daydream, meditate or journal. The decisions you’ll make will have long lasting consequences, so take your time.

"
16 march 2018,aries,"Gut hunches and dreams could reveal a lot, Aries. Your ability to tap into your own inner wisdom will grow as the weekend draws near. If you’re smart you’ll pay attention to what your intuition tells you, and then act on it.

"
17 march 2018,aries,"The new moon in the most healing, secluded part of your chart encourages you to get in touch with your feelings. The next few months are awesome for doing inner work, which includes getting rid of bad habits or toxic emotions like sorrow or anger. High octane Mars enters your house of achievement today as well, indicating that improving your mental health and level of serenity will be quite important to you.

"
18 march 2018,aries,"You may be feeling emotional today, wondering what you’ve done to deserve the karma you’ve been saddled with! Know that this is a temporary cosmic blip. When the Sun enters your sign on Tuesday, this feeling will already be ancient history.

"
19 march 2018,aries,"It’s the last day of the Sun in Pisces and things are already starting to look brighter for you. A happy meeting of Mercury and Venus will boost your optimism. It’s a good day for meeting a new romantic partner or having a flirty chat with your amour.

"
20 march 2018,aries,"Woo-hoo!! The Sun zips into Aries today, crowning you the celestial favorite. The weeks ahead will find you raring to go one minute, then pulling back to catch your breath the next. If there’s one message that the cosmos has for you it’s this: look before you leap. Take your time before making key decisions.

"
21 march 2018,aries,"One step forward, two steps back? That’s what your birthday season may feel like this year. You may be itching to get rolling with exciting new plans, but if you rush you run the risk of making mistakes. Take your time and do things right.

"
22 march 2018,aries,"Mercury begins to retrograde in your sign, forcing you to re-examine your assumptions, connections and plans. This doesn’t mean, however, that you can’t have fun or make progress! Just proceed with caution between now and April 15th.

"
23 march 2018,aries,"Hope you’re not feeling thin skinned these days! The button pushers will be out in force, and chances are you could lose your cool. But why waste your time on trouble makers? It’s your birthday season–you’ve got better things to do.

"
24 march 2018,aries,"Ready to make major changes in your career? According to your chart you may be mad as hell and not willing to take it any more! If that’s the case start doing some research concerning your next move. But don’t mouth off to bosses or anyone else, as you could be impetuous over the next week.

"
25 march 2018,aries,"Make love, not war! A healing Moon-Jupiter aspect is just the ticket for patching up differences with loved ones or business contacts. The full moon on the 31st will bring a lot of issues to a head, so you’d be wise to try to fix some of then now.

"
26 march 2018,aries,"A creative activity could go off center today, making you wonder if it’s even worth it to continue. You might feel the same way about a romantic connection. Tomorrow is a much better day to get things back on track so take a deep breath and wait 24 hours.

"
27 march 2018,aries,"Self help gurus are famous for blithely saying that you should follow your bliss. But today the cosmos is suggesting the same! If your life has become dull and doesn’t seem authentic, it’s time for a change. Only you can make it happen.

"
28 march 2018,aries,"Nothing, and I mean nothing, is going to hold you back today. This can be a terrific thing if you make some bold, intelligent decisions that will revamp your life. But  you could also pull off some impulsive, ill-considered moves that you’ll regret later. Look before you leap.

"
29 march 2018,aries,"Thinking about becoming more educated or learning a new skill? This is one of the most auspicious times all year to do so. A fabulous Mercury-Saturn trine encourages you to start researching your options and then take action. With Mercury’s intelligence and Saturn’s focus on discipline, you can really sink your teeth into your studies and let them take your life to a higher level.

"
30 march 2018,aries,"You may think that you’re an unstoppable force of nature but the cosmos warns that your batteries are a bit depleted. It’s not your responsibility to take on the world for other people. Slow down and take good care of your health.

"
31 march 2018,aries,"A juicy full moon in your relationship sector may call for a decision. Are you in, or are you out? Is it time to get engaged or have a baby? Love planet Venus enters your house of security, demanding maturity, answers and stability in matters of the heart.

"
1 april 2018,aries,"You can charm the birds from the trees with silver-tongued Mercury in a great spot. If you have a favor to ask, deal to negotiate or someone to impress, speak your piece before Wednesday.

"
2 april 2018,aries,"A funky Mars-Saturn aspect finds you chomping at the bit to get things done, but urges caution at the same time. Try to balance both. Don’t create unrealistic time frames or expectations for yourself or others.

"
3 april 2018,aries,"Emotions and logic are nicely balanced for you today, Aries! You’ll easily be able to see both sides of a situation. Be your own judge and don’t pay attention to the opinions of others.

"
4 april 2018,aries,"People in positions of power are watching you, Aries. Make sure that your work is up to snuff and that you’re playing by the rules. This is not the time to present cutting edge ideas; people aren’t ready for them yet.

"
5 april 2018,aries,"If you have fallen behind in your work, it’s time to pull it together–otherwise people will be more than willing to remind you of your responsibilities. Don’t give them anything to use against you.

"
6 april 2018,aries,"You have no shortage of brilliant ideas these days and some of them are beyond the understanding of the general populace. But that doesn’t mean that you shouldn’t pursue them! Why not? With wise old Saturn in your ambition sector, chances are you’re on the right track.

"
7 april 2018,aries,"Great day to talk about the long term future with people who count. This could cover matters of the heart as well as your career or family issues. If you need a second opinion, get one.

"
8 april 2018,aries,"Someone who has the power to help you climb the career ladder may reach out to you. Your skills and character speak for themselves, so it’s not surprising that you’re on their radar! This new connection could be a money maker too.

"
9 april 2018,aries,"It may seem like everyone else has all the luck and gets all the goodies in life, but being resentful isn’t going to change anything. Besides, with so much planetary firepower in your ambition sector, there’s nothing stopping you from getting your fair share.

"
10 april 2018,aries,"Feel like you need to go into exile or join the witness protection program? It could be with a lunar aspect that’s encouraging you to avoid people. If the world is getting to be too much for you to take, pull away, if only for 48 hours.

"
11 april 2018,aries,"The demanding Sun squares hard headed Pluto, making this one hell of a day for confrontations. In your case it could be an authority figure or VIP who’s the perpetrator. Is this battle really worth it? This may be one to step away from.

"
12 april 2018,aries,"From your chart it looks like you want to play for keeps, not just in love but in your career and other important areas. Your creativity is high and so is inspiration, so don’t settle for less than the best.

"
13 april 2018,aries,"Mercury has been retrograde in your sign for several weeks, but that doesn’t mean that you’re walking around in a fog. Today could be one of the most insightful days you’ll experience in 2018, especially when it comes to your career, long term financial plans and your mental well being. Your intuition and common sense are both operating at top speed, so use them wisely.

"
14 april 2018,aries,"Erratic Uranus has been transiting through Aries for almost eight years, creating all sorts of chaos that may have rattled your self confidence. Fortunately the blue planet will be moving on as of May 15th. But you can start to feel more powerful and focused as of today thanks to motivational Mars is in a good spot.

"
15 april 2018,aries,"Yeah, baby! Mercury goes direct in Aries, putting an end to confusion about your direction, feelings and self-image. The annual new moon in your sign occurs tomorrow, so start making up your wish list for the year ahead.

"
16 april 2018,aries,"Woo-hoo! The cosmos delivers a sweet birthday gift in your lap: a new moon in your sign. This once-a-year event is the moment to pursue your  dreams. And the cosmos delivers again on May 15th, when erratic Uranus leaves your sign, not to return for another 84 years. Chaos, confusion and a lack of direction are coming to an end.

"
17 april 2018,aries,"Back to the old drawing board! Wise Saturn begins to retrograde in your house of career and big goals, forcing you to slow down and examine your strategy. This slowdown is actually beneficial as it will prevent you from making mistakes, so use it to your advantage.

"
18 april 2018,aries,"This is truly one of the best days in 2018 to show the world what a brilliant thinker and influencer you are. The mighty Sun meets up with brainiac Uranus, allowing you to showcase your ideas. Not quite ready to be on center stage? Then use this energy to dream up fresh ideas.

"
19 april 2018,aries,"You’re pretty fearless, Aries, and this definitely comes across in your personality. But you might want to tone things down a little bit over the next few days. Sometimes the best way to gain attention or get what you want is to say as little as possible.

"
20 april 2018,aries,"Seeking security? You will be over the next four weeks as the Sun enters Taurus, the place where you crave structure. Saturn is retrograde, asking you to reexamine your plans for the long term future. Do that before diving into any kind of new job, relationship or activity.

"
21 april 2018,aries,"How you handle personal power is a topic that will come up a lot over the next few months. You’re in an awesome position to become a better parent, teacher, student, boss, friend or employee. But in order to do so you need to think about how much confidence and authority you currently have in those relationships.

"
22 april 2018,aries,"How much authority and control do you exert in your daily life, Aries? That’s the material question now that Pluto has gone retrograde in your ambition and success sector. Pluto governs power, the kind that others try to use on us and the quiet kind that we hold inside. The next few months will be reflective. You weren’t out on this planet to be someone’s doormat, nor should you be a  tyrant.

"
23 april 2018,aries,"Taking the same old approach to problems just isn’t going to cut it. Aries. With the moon in creative Leo you can certainly come up with better solutions than the ones you’ve used in the past. When Venus enters your house of strategizing tomorrow, ideas will come fast and furiously.

"
24 april 2018,aries,"Romance should start to feel lighter and friskier now that amorous Venus is in fun-loving Gemini. Singles, you might decide to play the field rather than get tied down. Coupled up rams should plan some three day weekends away and more date nights. Life shouldn’t be all about grinding out work and errands.

"
25 april 2018,aries,"People around you may not be open to your ideas, but they can’t see the bigger picture. You can, so forget them and push forward with your agenda. Besides, within the next few days there could be some new faces in your life, people who truly get what you’re thinking.

"
26 april 2018,aries,"Feel like turning the tables on everyone? You can with an awesome Mars-Pluto connection! Both of these planets meet up in your house of goals, putting you firmly in charge. Better yet, you’ll be able to outgun the competition when it comes to your career. Go ahead, snoop away. Then figure out your next move on the chess board.

"
27 april 2018,aries,"A Moon-Mercury opposition could bring about resistance to your ideas and plans, Aries. The problem is that you might react emotionally or worse—like giving in to others because you don’t want to make waves. This could come to a head on Monday’s full moon, so be prepared to stand your ground.

"
28 april 2018,aries,"Someone may be critical of you today and it won’t be easy to take. The Moon is in an emotional spot, and the other person could be quite assertive. Sunday is a better time to  regain perspective. However, if someone is consistently tyrannical or difficult, the full moon on Monday could be the final nail in their coffin.

"
29 april 2018,aries,"The next 48 hours are superb for making career progress, the kind of success that will last for years. You’ve got what it takes to impress decision makers; just know that some of these people may be used to doing things the old fashioned way. Tomorrow’s full moon is in your house of Big Money, so the aspects are terrific for earning a lot more.

"
30 april 2018,aries,"Tonight’s full moon is a double whammy, Aries, but this is a good thing! It occurs in your eighth house, which governs sex and intimacy as well as your net worth. It can be a steamy, seductive time with amorous Neptune whispering from the house of mystery. And with red hot Mars active in your career sector, you could score a raise, new job or create a profitable revenue stream.

"
1 may 2018,aries,"It’s volatility versus stability as Uranus opposes the Moon. In your case, Aries, it’s critical to keep your emotions in check. Take the long view instead of operating with knee jerk reactions.

"
2 may 2018,aries,"No matter how quickly you may want things to happen, they may not fall into place as neatly as you wish. This is especially true in your personal life. Slow down and think things through. When the Moon rolls into steady Capricorn tomorrow, clarity will return.

"
3 may 2018,aries,"Examine your assumptions! It’s a smart time to rethink things or situations that you’ve been taking for granted, Aries. Circumstances around you are evolving but you seem to be stuck in the past. If you want to move forward, you may need to change the way you’re thinking first.

"
4 may 2018,aries,"Logic rules over emotions today with a strong Saturn-Moon connection, and this is a good thing. Over the next two weeks you’ll be making some key decisions or be in a position to impress others. Prep yourself to be on point.

"
5 may 2018,aries,"Dig deep today, Aries. Subterranean Pluto, the detective of the solar system, is in fine form, helping you get to the bottom of things. It’s a smart thing to do because people will be playing games with you next week, especially on Monday and Thursday. Get ahead of them.

"
6 may 2018,aries,"Day dreaming is always a fun activity, but today your imagination could produce some fantasies that could actually come true. So don’t hold back—dream big, and imagine only the best coming your way.

"
7 may 2018,aries,"People may try to pull rank and you won’t have any of it. Heres the good news: Mercury in your sign will help you stand up for yourself. The bad news is that your intuition is off. My advice? Say as little as possible and wait for Friday, a much better time when you’ll be in control.

"
8 may 2018,aries,"Being overly optimistic could create problems with finances, a project…or both! Get the stardust out of your eyes and keep it real. Things may require more time, money or effort before they’ll manifest. Friday is a great time to find clarity.

"
9 may 2018,aries,"Your resolve is becoming ever stronger, Aries. Your sign isn’t known for being wimpy to begin with, but now you’re even more determined. Kudos! The good thing is that this is a quiet kind of confidence.

"
10 may 2018,aries,"Ggrrr!!!! A sexy Moon-Neptune aspect stirs up the “fire down below.” With so much recent planetary activity in your ambition sector, you deserve a break from hard work. Schedule some play time today or some much needed pampering.

"
11 may 2018,aries,"This is one of the best days in 2018 to show off your talent, ask for a raise or hunt down a new job. Decision makers will be impressed, so don’t waste this precious energy. Self-employed Aries should think about ways to differentiate themselves from the competition.

"
12 may 2018,aries,"Being overanxious to get from point A to point B could create problems for you, ram. You need the cooperation of other people and in your haste you might run roughshod over others.Take your time, be polite and recognize that you’re not a one-man band.

"
13 may 2018,aries,"Wild card Uranus gives you one last blast of energy in your sign before it moves on to Taurus. You might decide to completely change your life’s path, or maybe just a part of it. If making more money is a goal, know that shrewd Mercury enters your income sector today also.

"
14 may 2018,aries,"Get a handle on your budget now that shrewd Mercury is in your money sector. Be realistic about expenses and sources of income. Brainiac Uranus will enter this sign tomorrow, opening up an eight-year period in which you can score mountains of cash. But you need a clear picture of where you are first!

"
15 may 2018,aries,"Yaassss!!!!! Uranus is finally out of your sign, not to return for eight decades. It’s now in your house of money: making it and saving it. Uranus is unpredictable, so your career plans could change on a dime. Just don’t quit the day job and jump into something new without a lot of thought; don’t spend money before you make it.

"
