,Date,Sign,Text
0,1 january 2019,aries,"Happy new year! 2019 will be a game changer for you, Aries. Abundant, optimistic Jupiter is in your house of taking chances, its first visit here in over a decade. This is the year to push past previous boundaries. If you can think of, you can do it!

"
1,2 january 2019,aries,"This is a powerful day with the fiery Sun forming a perfect angle with disciplined Saturn. If you have any major decisions to make, now is the time to do so. You’ll be operating with logic, maturity and good long-term focus. This is a great way to kick off 2019.

"
2,5 january 2019,aries,"Hurt feelings can be patched up thanks to a lunar aspect that wants you to feel better about yourself. You don’t even have to have a conversation with someone in order to heal. Maybe you just need to write a letter, the kind you don’t mail, but allows you to release pent-up feelings.

"
3,6 january 2019,aries,"Got #goals? If so, then you’ll love today’s sizzling aspects. First there’s a solar eclipse in your house of ambition and success. Then Uranus, planet of genius, goes direct—in Aries! This is truly one of the best days in YEARS to act on things that mean a lot to you, including those that seem like impossible dreams.

"
4,7 january 2019,aries,"Ggrrrr!!!! Feel like taking a risk in love? Or maybe you want to add a bit of uh, spice,  to your relationship. Then you’ll be pleased to know that amorous Venus enters your house of free-spirited thinking today. However, this isn’t just about being kinky, so stop thinking 50 Shades. This is more about taking exotic vacations together, dating a brand new type or going to new venues on date night.

"
5,8 january 2019,aries,"Raging against “the machine” could backfire on you big time, Aries. This could mean your boss, a government agency, a cop who pulls you over or a key decision maker. Keep calm and carry on.

"
6,9 january 2019,aries,"Be open to doing something spontaneous with a friend, colleague or team. You look like the person with the cool ideas, and people will be willing to hear about them. Friday is wonderful for getting these ideas off the ground.

"
7,10 january 2019,aries,"It’s a groovy, vibey kind of a day thanks to a Moon-Neptune meet up in the most mysterious part of your chart. Have a tryst, the kind that goes on behind closed doors. Study meditation. Snoop your business competition to gather valuable intel. Confidentiality is the word o’ the day.

"
8,11 january 2019,aries,"This could be on of the most decisive days for you in 2019. The authoritative Sun meets up with tough-as-nails Pluto, and they’re focusing on your goals. It’s a smart time for doing research. Knowledge is power, don’t forget that.

"
9,12 january 2019,aries,"The Moon enters your sign, which means that you should be feeling charged up this weekend. Really  charged up, because La Luna hooks up with assertive Mars. You’re in quite an ambitious phase these days, and this energy will go into next week.

"
10,13 january 2019,aries,"There is no room for mixed up thinking or fantasies today. Keep it real. You have some serious decisions to make about things that will last long into the future; don’t mess around.

"
11,14 january 2019,aries,"Recent cosmic activity has been putting you in the paths of many people. And if you haven’t met them yet, you certainly will in the near future. If you want to change the world in a good way, seek out those who share your compassion and desire to give back to others.

"
12,15 january 2019,aries,"It’s time to buckle down and get things done. Sure, you may want to play and be fancy free. But today’s cosmic energy demands that you stick to the plan, tomorrow too. Get your grunt work out of the way because Friday is perfect for partying.

"
13,16 january 2019,aries,"“I can see clearly now, the rain is gone. I can see all obstacles in my way.” The lines from that famous song ring true for you today, Aries. Clarity is here and the opportunity to get roadblocks out of your path.

"
14,17 january 2019,aries,"Keep your opinions to yourself today. A Moon-Venus opposition indicates that something could be taken wrong way, no matter how diplomatic you are. Don’t put yourself out on a limb in any manner: in writing, contractually, you name it. Tomorrow, though, the situation is quite different.

"
15,18 january 2019,aries,"It’s time to make some major decisions about the direction your life is heading in. Intelligent Mercury meets up with transformational Pluto in your house of goals. You may suddenly rebel against a person or situation that has been holding you back. Bravo!

"
16,19 january 2019,aries,"
Emotions that have been simmering under the surface could come spilling out, quickly at that. You will be especially annoyed if you perceive that someone or something is holding you back. Should you vent? Maybe, maybe not. Choose wisely.

"
17,20 january 2019,aries,"
Now that the Sun is in friendly Aquarius, you should be more open to socializing with friends. But choose friends, lovers and industry contacts carefully. There may be people out there who talk a big story but there is no substance there.

"
18,21 january 2019,aries,"
A sizzling lunar eclipse in Leo could bring a romantic matter to a dramatic finale! This could mean an engagement, conceiving a baby or meeting a keeper. Just don’t push too hard for things to happen. With aggressive Mars in your sign, you could come on way too strong. 

"
19,22 january 2019,aries,"
This could easily be one of the most adventurous days of the year. The two most optimistic and beneficial planets, Venus and Jupiter, are meeting up in your house of taking chances. Beware of being too impulsive, though. Unpredictable Uranus is acting up in your sign. 

"
20,23 january 2019,aries,"
No matter how sensible or rational something or someone seems to be, you may resist it. Rebellious Uranus is acting up in your sign, making you question everything. Is this a smart way to go? Not if you piss people off in the process.

"
21,24 january 2019,aries,"
Now that vivacious Mercury is in your house of networking, you should be out there socializing as much as possible. Other people could prove to be unbelievably lucky for you over the next three weeks. Don’t be shy about putting yourself out there.

"
22,25 january 2019,aries,"
Your courage is rising, Aries. Should you really dare to do those things that have been in the back of your mind for years now? Uh-huh. Optimistic Jupiter winks at go-get-’em Mars. Now’s the time.

"
23,26 january 2019,aries,"
My way or the highway? That could be the mood you’re in. Problem is, you run the risk of hurting the feelings of people close by. Is it worth it? Think twice before you act out.

"
24,27 january 2019,aries,"
Stick to your guns….and your plans and opinions. Others may try to sway you over to their way of thinking. I wish them luck, because it ain’y gonna happen.

"
25,29 january 2019,aries,"
Wisdom is all around you if you seek it. And with so many savvy people on the internet producing podcasts and blog posts, you should have no problem finding the information or inspiration you need. With intelligent Mercury meeting up with the Sun in your tech sector you can’t go wrong.

"
26,30 january 2019,aries,"
Inner forces may start bubbling up inside you, suggesting to do something risky. Why not? As long as it’s not something dangerous or stupid you should go for it. Life is too short to stand along the sidelines.

"
27,31 january 2019,aries,"
If you have felt stuck in a key area of your life, then rest easy. Neptune, that dreamy planet of the subconscious mind, is inspiring you. The good thing is that logical Saturn is in a positive angle too, ensuring that fresh ideas will be well thought out…. and not crazy!

"
28,1 february 2019,aries,"
Ouch! The two most obstinate planets in the solar system, Mars and Pluto, square off. The temptation to mouth off will be strong; the problem is that you run the risk of telling An Important Person to go f*** off. Probably not your best move. 

"
29,2 february 2019,aries,"
Don’t assume that you have life all figured out; you can learn a lot from other people. And to your surprise you may actually enjoy the process! Expose yourself to people with a different point of view. You never know how much this could change your life.

"
30,3 february 2019,aries,"
Interactions with people in positions of power can go extraordinarily well over the next three weeks. Now that Venus is in your house of ambition, you’ll be able to dazzle. Don’t be afraid to show off a little!

"
31,4 february 2019,aries,"
When the going gets tough, the tough get going. But today’s new moon in  Aquarius indicates that you won’t be dealing with everything by yourself. Now’s the time to team up with friends or like-minded individuals who know how to get things done. 

"
32,5 february 2019,aries,"
There’s a saying about people. They can either be like anchors on a boat, holding you down, or they can be like motors, propelling you forward. Find some new motors and dump the anchors, Aries.

"
33,6 february 2019,aries,"
Feeling a bit worn out? It’s possible with the Moon in Pisces. Chill out. Relax. Pamper yourself. Take a nap. Call in sick to work. Recharge your batteries, because you have a very social week ahead.

"
34,7 february 2019,aries,"
A dazzling Sun-Jupiter aspect could bring some amazing people your way, Aries. Keep an open mind. Some of these folks could be quite different than the types you’re used to. You’re not the shy boring type, and these folks certainly know how to live.

"
35,8 february 2019,aries,"
This could be one of the most motivational days of 2019. Either you’re going to hear something that positively rocks your world, OR you’re the bold leader who’s rallying the troops. Either way you win. 

"
36,9 february 2019,aries,"
It’s a wonderful day to do something spontaneous, as wonky Uranus is active in your sign. But don’t even think of flying solo. Hell no, you need a wing man or woman to share your escapades with. Go ahead and cause some good trouble.

"
37,10 february 2019,aries,"
Sshhhh!!! Clever Mercury glides into the most secluded, restful part of your chart. Spend the next three weeks in a healing phase. Nurture your body, mind and spirit. Pull away from chaos and noise. You’ll be grateful that you did.

"
38,1 march 2019,aries,"
You may feel like breaking with tradition today, quite suddenly at that! And why not? Life is all about taking chances. With magnetic Venus entering your house of friends and networking, you should seek the advice of others if you’re not sure about things.

"
39,10 march 2019,aries,"
Be prepared to adjust some of your bigger plans and ambitions, Aries. With the Sun gliding through the most thoughtful part of your chart, you may be realizing that certain things in your life need to be changed. This is wise. You need to narrow down and focus on just a few key things.

"
40,11 march 2019,aries,"
Money will be on your mind today, Aries. With the inspirational Moon forming a trine with Saturn in your career zone, you should be considering all of the ways that you can bring more financial stability to your life. This may mean cutting back on spending, but long run it will be worth it.

"
41,12 march 2019,aries,"
Shhhh!!! Keep your mouth shut, ram. I don’t care if you’re the savviest person in the room. That’s the whole problem: you may very well be the smartest person in the room, and by talking you will divulge too much. The dream stealers and passive aggressive types are out today. Also, watch out for over promising something, as you may not be able to deliver it.

"
42,13 march 2019,aries,"
You should be feeling more powerful and in control, thanks to macho Pluto in a feisty place. But as the ancient Taoist warrior-monks understood, true power is best hidden from prying eyes. Keep your strength a secret and quietly move ahead with your agenda.

"
43,14 march 2019,aries,"
Keep your Spidey sense turned all the way up today, as your intuition will be right on target. This is super helpful as there is so much planetary activity going on in your ambition sector. Cosmic wisdom will come your way.

"
